!	!
!!	!@@ !
!((	!@@ (@@ (
!)	!@@ )
!-	!@@ -
!mxt	!@@ m@@ xt
!xt	!@@ xt
કેશવલાલ	કે@@ શ@@ વ@@ લાલ
કેશુભાઈ	કે@@ શુ@@ ભાઈ
કેશોદ	કે@@ શો@@ દ
કેસ	કે@@ સ
કેસર	કે@@ સર
કેસરી	કે@@ સર ⧺ી
કેસીંપા	કે@@ સી@@ ં@@ પા
કેસેટ	કે@@ સે@@ ટ
કેસ્પિયન	કે@@ સ્@@ પ@@ િયન
કૈકેયી	કૈ@@ કે@@ ય@@ ી
કૈથલ	કૈ@@ થ@@ લ
કૈફ	કૈ@@ ફ
કૈફાઇર	કૈ@@ ફા@@ ઇ@@ ર
કૈમૂર	કૈ@@ મૂ@@ ર
કૈરો	કૈ@@ રો
કૈલાલી	કૈ@@ લા@@ લી
કૈલાશ	કૈ@@ લા@@ શ
કૈલાશપતિ	કૈ@@ લા@@ શ@@ પતિ
કૈલાસનાથ	કૈ@@ લા@@ સ@@ નાથ
કૉમન્સ	ક@@ ૉ@@ મ@@ ન્સ
કૉમિક્સ	ક@@ ૉ@@ મિ@@ ક્સ
કૉલેજ	ક@@ ૉ@@ લે@@ જ
કો	કો
કો-ઍક્સિયલ	કો@@ -@@ ઍ@@ ક્@@ સ@@ િયલ
કો-તક-ઇન	કો@@ -@@ તક@@ -@@ ઇન
કોંકણ	કો@@ ંક@@ ણ
કોંકણી	કો@@ ંક@@ ણ ⧺ી
કોંગો	કો@@ ંગ@@ ો
કોંગોનું	કો@@ ંગો@@ નું
કોંગ્રેસ	કો@@ ંગ@@ ્રે@@ સ
કોંગ્રેસ/મેટા/રંગ	કો@@ ંગ@@ ્રે@@ સ@@ /@@ મે@@ ટા@@ /@@ રંગ
કોઇમ્બતુર	કો@@ ઇ@@ મ્બ@@ તુ@@ ર
કોકમ	કો@@ ક@@ મ
કોકરાઝાર	કો@@ કરા@@ ઝા@@ ર
કોકલીયર	કો@@ કલ@@ ીય@@ ર
કોકા	કો@@ કા
કોકિંગ	કો@@ કિંગ
કોકિલાકાર	કો@@ કિ@@ લા@@ કાર
કોકોસ	કો@@ કો@@ સ
કોચ	કો@@ ચ
કોચરબ	કો@@ ચ@@ ર@@ બ
કોચી	કો@@ ચ ⧺ી
કોઝવે,	કો@@ ઝ@@ વે@@ ,
કોઝીક્કોડ	કો@@ ઝી@@ ક્@@ કો@@ ડ
કોટક	કો@@ ટક
કોટા	કો@@ ટા
કોટાય	કો@@ ટા@@ ય
કોટેશ્વર	કો@@ ટે@@ શ્વર
કોટ્ટયમ	કો@@ ટ્@@ ટ@@ ય@@ મ
કોઠ	કો@@ ઠ
કોઠારા	કો@@ ઠ@@ ારા
કોઠારી	કો@@ ઠ@@ ારી
કોઠારીયાતા.રાજકોટ	કો@@ ઠ@@ ાર@@ ીયા@@ તા@@ .@@ રાજકોટ
કોડ	કો@@ ડ
કોડકી	કો@@ ડ@@ કી
કોડરમા	કો@@ ડ@@ ર@@ મા
કોડાગુ	કો@@ ડા@@ ગુ
કોડાયકેનલ	કો@@ ડા@@ ય@@ કે@@ ન@@ લ
કોડિઆક	કો@@ ડિ@@ આ@@ ક
કોડીનાર	કો@@ ડી@@ નાર
કોણાર્ક	કો@@ ણા@@ ર્ક
કોથમીર	કો@@ થ@@ મીર
કોદરા	કો@@ દરા
કોદાળી	કો@@ દા@@ ળી
કોદિયા	કો@@ દ@@ િયા
કોનકોર્ડ	કો@@ ન@@ કો@@ ર્ડ
કોન્સ્ટેન્ટીનોપલ	કો@@ ન્@@ સ્ટે@@ ન્@@ ટી@@ નો@@ પલ
કોપરનિસીયમ	કો@@ પર@@ નિ@@ સીયમ
કોપ્પલ	કો@@ પ્@@ પલ
કોબાલ્ટ	કો@@ બા@@ લ્@@ ટ
કોમ	કો@@ મ
કોમોરોસનો	કો@@ મો@@ રો@@ સનો
કોમ્પ્યુટર	કોમ્પ્યુટર
કોમ્પ્યુટરના	કોમ્પ્યુટર ⧺ના
કોયના	કો@@ ય@@ ના
કોયલ	કો@@ યલ
કોરબા	કો@@ રબ@@ ા
કોરાપુટ	કો@@ રા@@ પુ@@ ટ
કોરિયા	કો@@ રિયા
કોરિયાનો	કો@@ ર@@ િયાનો
કોરી	કો@@ રી
કોરેગાંવ	કો@@ રે@@ ગાંવ
કોરેગાંવની	કો@@ રે@@ ગાં@@ વ@@ ની
કોરોકોરો	કો@@ રો@@ કો@@ રો
કોર્ન	કોર્@@ ન
કોર્પોરેશન	કોર્પોરેશન
કોર્બીન	કોર્@@ બી@@ ન
કોર્બેટ	કોર્@@ બેટ
કોર્સ,	કોર્@@ સ@@ ,
કોલ	કો@@ લ
કોલંબિયા,	કોલ@@ ંબ@@ િયા@@ ,
કોલંબો	કોલ@@ ંબ@@ ો
કોલક	કોલ@@ ક
કોલકાતા	કોલ@@ કા@@ તા
કોલમ્બિયા	કોલ@@ મ્બ@@ િયા
કોલમ્બિયાનો	કોલ@@ મ્બ@@ િયાનો
કોલા	કો@@ લા
કોલાબા	કોલા@@ બા
કોલાર	કોલા@@ ર
કોલાસિબ	કોલા@@ સિ@@ બ
કોલેજ	કો@@ લે@@ જ
કોલોની	કો@@ લો@@ ની
કોલોરીયાંગ	કો@@ લો@@ ર@@ ીય@@ ાંગ
કોલોસીયમ	કો@@ લો@@ સીયમ
કોલ્ડપ્લે	કો@@ લ્@@ ડ@@ પ્@@ લે
કોલ્લમ	કો@@ લ્@@ લમ
કોલ્વી	કો@@ લ્@@ વી
કોલ્હાપૂર	કો@@ લ્@@ હા@@ પૂર
કોળિક્કોટ્	કો@@ ળ@@ િ@@ ક્@@ કો@@ ટ@@ ્
કોળી	કો@@ ળી
કોળું	કો@@ ળ@@ ું
કોવાયા	કો@@ વા@@ યા
કોવિંદ	કો@@ વિંદ
કોશી	કો@@ શી
કોષ	કો@@ ષ
કોષ્ટક	કો@@ ષ્@@ ટક
કોસંબા	કો@@ સં@@ બા
કોસાડ	કો@@ સાડ
કોસી	કો@@ સી
કોસ્ટનો	કો@@ સ્ટ@@ નો
કોસ્ટારિકાનો	કો@@ સ્ટ@@ ાર@@ િ@@ કા@@ નો
કોહલી	કો@@ હ@@ લી
કોહિમા	કો@@ હિ@@ મા
કૌંસ	કૌ@@ ં@@ સ
કૌભાંડ	કૌ@@ ભા@@ ંડ
કૌર	કૌ@@ ર
કૌરવ	કૌ@@ ર@@ વ
કૌલ	કૌ@@ લ
કૌશમ્બી	કૌ@@ શ@@ મ્@@ બી
કૌશલ	કૌ@@ શ@@ લ
કૌશલ્યા	કૌ@@ શ@@ લ્@@ યા
કૌશામ્બી	કૌ@@ શા@@ મ્@@ બી
કૌશિક	કૌ@@ શિ@@ ક
કૌસરનાગ	કૌ@@ સર@@ ના@@ ગ
કૌસ્તુભ	કૌ@@ સ્તુ@@ ભ
ક્યા	ક્@@ યા
ક્યુબાનો	ક્@@ યુ@@ બા@@ નો
ક્યુરીયમ	ક્@@ યુ@@ ર@@ ીયમ
ક્રમચય	ક્ર@@ મ@@ ચ@@ ય
ક્રમાંક	ક્ર@@ મા@@ ંક
ક્રાંતિ	ક્ર@@ ાંતિ
ક્રાંતિકારી	ક્ર@@ ાં@@ તિ@@ ક@@ ારી
ક્રાંતિનું	ક્ર@@ ાં@@ તિ@@ નું
ક્રાઇસ્ટ	ક્ર@@ ા@@ ઇ@@ સ્ટ
ક્રાઇસ્ટચર્ચ	ક્ર@@ ા@@ ઇ@@ સ્ટ@@ ચ@@ ર્@@ ચ
ક્રિકેટ	ક્રિકેટ
ક્રિકેટનું	ક્રિકે@@ ટ@@ નું
ક્રિકેટનો	ક્રિકે@@ ટ@@ નો
ક્રિકેટમાં	ક્રિકે@@ ટ@@ માં
ક્રિકેટર	ક્રિકે@@ ટર
ક્રિપ્ટોન	ક્રિ@@ પ્@@ ટો@@ ન
ક્રિભકો	ક્રિ@@ ભ@@ કો
ક્રિયા	ક્ર@@ િયા
ક્રિયાવિશેષણ	ક્ર@@ િયા@@ વિ@@ શે@@ ષણ
ક્રિશ્નનક્યુટી	ક્રિ@@ શ્@@ ન@@ ન@@ ક્@@ યુ@@ ટી
ક્રિષ્નામાચારી	ક્રિ@@ ષ્@@ ના@@ મા@@ ચ@@ ારી
ક્રિસમસ	ક્રિ@@ સમ@@ સ
ક્રિસ્ટલ	ક્રિ@@ સ્ટ@@ લ
ક્રિસ્ટાડેલ્ફિયન્સ	ક્રિ@@ સ્ટા@@ ડે@@ લ્@@ ફ@@ િય@@ ન્સ
ક્રિસ્ટી	ક્રિ@@ સ્@@ ટી
ક્રીડાંગણ	ક્ર@@ ી@@ ડા@@ ંગ@@ ણ
ક્રીપ્સ	ક્ર@@ ી@@ પ્@@ સ
ક્રેગ	ક્ર@@ ે@@ ગ
ક્રેડિટ	ક્ર@@ ે@@ ડિ@@ ટ
ક્રોએશિયન	ક્રો@@ એશ@@ િયન
ક્રોએશિયા	ક્રો@@ એશિયા
ક્રોએશિયાનો	ક્રો@@ એશ@@ િયાનો
ક્રોપ	ક્રો@@ પ
ક્રોમ	ક્રો@@ મ
ક્રોમા	ક્રો@@ મા
ક્રોહનનો	ક્રો@@ હ@@ ન@@ નો
ક્લક્સ	ક્લ@@ ક્સ
ક્લબ	ક્લબ
ક્લાન	ક્@@ લા@@ ન
ક્લિન્ટન	ક્@@ લિ@@ ન્@@ ટન
ક્લુમ	ક્@@ લુ@@ મ
ક્વાન	ક્@@ વાન
ક્વિંગઝાંગ	ક્@@ વિ@@ ંગ@@ ઝ@@ ાંગ
ક્વિન	ક્@@ વિ@@ ન
ક્વિબેક	ક્@@ વિ@@ બે@@ ક
ક્વીન	ક્@@ વી@@ ન
ક્વીન્સ	ક્@@ વી@@ ન્સ
ક્વીન્સલેન્ડ	ક્@@ વી@@ ન્સ@@ લેન્ડ
ક્વોન્ટિકો	ક્@@ વો@@ ન્@@ ટિ@@ કો
ક્ષ-કિરણો	ક્ષ@@ -@@ કિ@@ રણ ⧺ો
ક્ષત્રિય	ક્ષ@@ ત્રિ@@ ય
ક્ષમાવણી	ક્ષ@@ મા@@ વ@@ ણી
ક્ષય	ક્ષ@@ ય
ક્ષારાતુ	ક્ષ@@ ા@@ રા@@ તુ
ક્ષિપ્રા	ક્ષિ@@ પ્ર@@ ા
ક્ષેત્ર	ક્ષેત્ર
ક્ષેત્ર,	ક્ષે@@ ત્ર@@ ,
ક્ષેત્રના	ક્ષેત્ર ⧺ના
ક્ષેત્રફળ	ક્ષે@@ ત્ર@@ ફ@@ ળ
ક્ષેત્રી	ક્ષેત્ર ⧺ી
ખંજરી	ખં@@ જ@@ રી
ખંડ	ખંડ
ખંડ,	ખંડ@@ ,
ખંડવા	ખંડ@@ વા
ખંડાલા	ખંડ@@ ા@@ લા
ખંડેરાવ	ખંડ@@ ે@@ રાવ
ખંડેરિયા	ખંડ@@ ે@@ રિયા
ખંભરા	ખં@@ ભ@@ રા
ખંભાત	ખં@@ ભાત
ખંભાતનો	ખં@@ ભા@@ ત@@ નો
ખંભાતા	ખં@@ ભા@@ તા
ખંભાલીડા	ખં@@ ભા@@ લી@@ ડા
ખંભાળિયા	ખં@@ ભા@@ ળ@@ િયા
ખગડિયા	ખ@@ ગ@@ ડિયા
ખગોળશાસ્ત્ર	ખ@@ ગો@@ ળ@@ શાસ્ત્ર
ખગોળશાસ્ત્રીઓ	ખ@@ ગો@@ ળ@@ શાસ્ત્ર@@ ીઓ
ખગોળીય	ખ@@ ગો@@ ળ@@ ીય
ખજરાના	ખ@@ જરા@@ ના
ખજુરાહો	ખ@@ જુ@@ રા@@ હો
ખડ	ખ@@ ડ
ખડકો	ખ@@ ડ@@ કો
ખડિયા	ખ@@ ડિયા
ખડી	ખ@@ ડી
ખડોતિયા	ખ@@ ડો@@ ત@@ િયા
ખત્રી	ખ@@ ત્રી
ખદીજા	ખ@@ દી@@ જા
ખનીજ	ખ@@ ની@@ જ
ખન્ના	ખ@@ ન્ના
ખબરદાર	ખ@@ બર@@ દાર
ખમણ	ખ@@ મણ
ખમ્મમ	ખ@@ મ્મ@@ મ
ખરગોન	ખર@@ ગો@@ ન
ખરસાણી	ખર@@ સા@@ ણી
ખરસાવાં	ખર@@ સા@@ વા@@ ં
ખરીફ	ખ@@ રી@@ ફ
ખરે	ખર@@ ે
ખરોડ	ખ@@ રોડ
ખલખલીયો	ખ@@ લખ@@ લ@@ ીયો
ખલિલાબાદ	ખ@@ લિ@@ લા@@ બાદ
ખલીફા	ખ@@ લી@@ ફ@@ ા
ખલીલ	ખ@@ લી@@ લ
ખાંટ	ખ@@ ાં@@ ટ
ખાંડવપ્રસ્થ	ખ@@ ાં@@ ડ@@ વ@@ પ્ર@@ સ્@@ થ
ખાંડવાળા	ખ@@ ાં@@ ડ@@ વાળા
ખાંડવી	ખ@@ ાં@@ ડ@@ વી
ખાંદેરી	ખા@@ ંદે@@ રી
ખાખરા	ખા@@ ખ@@ રા
ખાખરેચી	ખા@@ ખ@@ રે@@ ચી
ખાખરો	ખા@@ ખ@@ રો
ખાચર	ખા@@ ચર
ખાજા	ખા@@ જા
ખાટી	ખા@@ ટી
ખાડિયા	ખા@@ ડિયા
ખાડી	ખા@@ ડી
ખાતર	ખા@@ તર
ખાદી	ખા@@ દી
ખાદ્ય	ખા@@ દ્ય
ખાન	ખાન
ખાનદેશ	ખા@@ ન@@ દેશ
ખાનનો	ખા@@ નન ⧺ો
ખાનપર	ખા@@ ન@@ પર
ખાબ,	ખા@@ બ@@ ,
ખારઘર	ખ@@ ાર@@ ઘર
ખારવા	ખ@@ ાર@@ વા
ખારાઘોડા	ખા@@ રા@@ ઘો@@ ડા
ખારી	ખ@@ ારી
ખારોડ	ખ@@ ાર@@ ો@@ ડ
ખાલસા	ખા@@ લ@@ સા
ખાવડા	ખા@@ વડા
ખાવાનો	ખા@@ વા@@ નો
ખાસી	ખા@@ સી
ખિરસુ	ખ@@ િ@@ ર@@ સ@@ ુ
ખિલજી	ખ@@ િ@@ લ@@ જી
ખિલાવડ	ખ@@ િ@@ લા@@ વડ
ખિસકોલી	ખ@@ િ@@ સ@@ કો@@ લી
ખીચડી	ખી@@ ચ@@ ડી
ખીચીયું	ખી@@ ચ@@ ીય@@ ું
ખીજડીયા	ખી@@ જ@@ ડીયા
ખીજડો	ખી@@ જ@@ ડો
ખીણ	ખી@@ ણ
ખીણની	ખી@@ ણ@@ ની
ખીર	ખી@@ ર
ખીરભવાની	ખી@@ ર@@ ભ@@ વા@@ ની
ખીરસરા	ખી@@ ર@@ સરા
ખીરોકિટીયા	ખી@@ રો@@ કિ@@ ટ@@ ીયા
ખીલ	ખી@@ લ
ખુમાલો	ખ@@ ુ@@ મા@@ લો
ખુરાના	ખ@@ ુ@@ રા@@ ના
ખુશરો	ખ@@ ુ@@ શ@@ રો
ખૂલ્લો	ખ@@ ૂ@@ લ્@@ લો
ખેંગાર	ખે@@ ંગા@@ ર
ખેચરી	ખે@@ ચ@@ રી
ખેડબ્રહ્મા	ખે@@ ડ@@ બ્રહ્@@ મા
ખેડા	ખેડા
ખેડોઈ	ખે@@ ડો@@ ઈ
ખેતર	ખે@@ તર
ખેતરપાલ	ખે@@ તર@@ પાલ
ખેતી	ખે@@ તી
ખેરખટ્ટો	ખે@@ ર@@ ખ@@ ટ્@@ ટો
ખેરગામ	ખે@@ ર@@ ગામ
ખેરવા	ખે@@ ર@@ વા
ખેરાલી	ખે@@ રા@@ લી
ખેરાલુ	ખે@@ રા@@ લ@@ ુ
ખેરી	ખે@@ રી
ખેલાડી	ખેલાડી
ખેસર	ખે@@ સર
ખોંડ	ખો@@ ંડ
ખોખરા	ખો@@ ખ@@ રા
ખોડિયાર	ખો@@ ડિયા@@ ર
ખોડીયાર	ખો@@ ડ@@ ીયા@@ ર
ખોપાળા	ખો@@ પા@@ ળા
ખોરાક	ખો@@ રા@@ ક
ખોર્ધા	ખો@@ ર્@@ ધા
ખોસિત્સિલે	ખો@@ સિ@@ ત્@@ સિ@@ લે
ખ્મેર	ખ@@ ્@@ મેર
ખ્રિસ્તી	ખ@@ ્ર@@ િ@@ સ્તી
ખ્લીહરિયત	ખ@@ ્@@ લી@@ હર@@ િય@@ ત
ગંગટોક	ગ@@ ંગ@@ ટો@@ ક
ગંગા	ગંગા
ગંગાધરપૂર	ગંગા@@ ધર@@ પૂર
ગંગાનગર	ગંગા@@ નગર
ગંગાસતી	ગંગા@@ સ@@ તી
ગંગુબાઇ	ગ@@ ંગ@@ ુ@@ બા@@ ઇ
ગંગોત્રી	ગ@@ ંગો@@ ત્રી
ગંજબાસૌદા	ગં@@ જ@@ બા@@ સૌ@@ દા
ગંજશકર	ગં@@ જ@@ શ@@ કર
ગંજામ	ગં@@ જા@@ મ
ગંડકી	ગ@@ ંડ@@ કી
ગંધક	ગં@@ ધ@@ ક
ગંભીર	ગં@@ ભી@@ ર
ગગનમાં	ગ@@ ગ@@ ન@@ માં
ગજણસર	ગ@@ જ@@ ણ@@ સર
ગજણા	ગ@@ જ@@ ણા
ગજપતિ	ગ@@ જ@@ પતિ
ગજહ	ગ@@ જ@@ હ
ગજેન્દ્ર	ગ@@ જે@@ ન્દ્ર
ગઝલ	ગ@@ ઝ@@ લ
ગટરવ્યવસ્થા	ગ@@ ટર@@ વ્યવ@@ સ્થા
ગડગ	ગ@@ ડ@@ ગ
ગડચિરોલી	ગ@@ ડ@@ ચિ@@ રો@@ લી
ગઢ	ગઢ
ગઢડા	ગઢ@@ ડા
ગઢવા	ગઢ@@ વા
ગઢવાલ	ગઢ@@ વાલ
ગઢવાલી	ગઢ@@ વાલ ⧺ી
ગઢવી	ગઢ@@ વી
ગઢીયા	ગઢ@@ ીયા
ગણ	ગ@@ ણ
ગણક	ગણ@@ ક
ગણતંત્ર	ગણ@@ તંત્ર
ગણતંત્રનો	ગણ@@ તંત્ર@@ નો
ગણતંત્રો	ગણ@@ તંત્ર ⧺ો
ગણદેવી	ગણ@@ દે@@ વી
ગણધર	ગણ@@ ધ@@ ર
ગણપત	ગણ@@ પત
ગણપતસિંહ	ગણ@@ પત@@ સિંહ
ગણરાજ્ય	ગણ@@ રાજ્ય
ગણરાજ્યનો	ગણ@@ રાજ@@ ્ય@@ નો
ગણાત્રા	ગ@@ ણા@@ ત્રા
ગણિત	ગણ@@ િત
ગણિતશાસ્ત્રીઓ	ગણ@@ િ@@ ત@@ શાસ્ત્ર@@ ીઓ
ગણેશ	ગણ@@ ેશ
ગણેશન	ગણ@@ ે@@ શન
ગદા	ગ@@ દા
ગદ્દાફી	ગ@@ દ્@@ દા@@ ફી
ગન	ગ@@ ન
ગફાર	ગ@@ ફા@@ ર
ગયા	ગ@@ યા
ગયાનાનો	ગ@@ યા@@ ના@@ નો
ગરબા	ગ@@ રબ@@ ા
ગરમ	ગ@@ રમ
ગરમાળો	ગ@@ રમા@@ ળો
ગરીબ	ગ@@ રી@@ બ
ગરુડ	ગ@@ રુ@@ ડ
ગર્ગ	ગ@@ ર્@@ ગ
ગર્જિયાદેવી	ગ@@ ર્જ@@ િયા@@ દે@@ વી
ગર્ભનિરોધ	ગ@@ ર્@@ ભ@@ નિ@@ રો@@ ધ
ગર્ભપાત	ગ@@ ર્@@ ભ@@ પા@@ ત
ગર્ભાવસ્થા	ગ@@ ર્@@ ભાવ@@ સ્થા
ગલ્ફ	ગ@@ લ્@@ ફ
ગળતેશ્વર	ગ@@ ળ@@ તે@@ શ્વર
ગળપાદર	ગ@@ ળ@@ પા@@ દર
ગાંજાવાલા	ગાં@@ જા@@ વાલા
ગાંઠ	ગાં@@ ઠ
ગાંઠિયા	ગાં@@ ઠ@@ િયા
ગાંઠિયો	ગાં@@ ઠ@@ િયો
ગાંધાર	ગાં@@ ધાર
ગાંધારપુલે	ગાંધ@@ ાર@@ પુ@@ લે
ગાંધી	ગાંધી
ગાંધીધામ	ગાંધી@@ ધામ
ગાંધીધામ-પાલનપુર	ગાંધી@@ ધામ@@ -@@ પાલ@@ નપુર
ગાંધીનગર	ગાંધી@@ નગર
ગાગરોનનો	ગા@@ ગ@@ રો@@ ન@@ નો
ગાગા	ગા@@ ગા
ગાગોદર	ગા@@ ગો@@ દર
ગાજણવાવ	ગા@@ જ@@ ણ@@ વાવ
ગાજિયાબાદ	ગા@@ જ@@ િયા@@ બાદ
ગાજીપુર	ગા@@ જી@@ પુર
ગાઝિયાબાદ	ગા@@ ઝ@@ િયા@@ બાદ
ગાડીત	ગા@@ ડી@@ ત
ગાડું	ગા@@ ડ@@ ું
ગાધકડા	ગા@@ ધ@@ ક@@ ડા
ગાના	ગા@@ ના
ગાબોનનો	ગા@@ બો@@ ન@@ નો
ગામ	ગામ
ગામગુલ	ગા@@ મ@@ ગુ@@ લ
ગામા	ગા@@ મા
ગામિત	ગા@@ મિત
ગામીત	ગા@@ મી@@ ત
ગામો	ગામ ⧺ો
ગાય	ગા@@ ય
ગાયક	ગા@@ યક
ગાયકવાડ	ગાય@@ ક@@ વાડ
ગાયકવાડ્સ	ગાય@@ ક@@ વાડ@@ ્@@ સ
ગાયકો	ગા@@ યક ⧺ો
ગાયત્રી	ગાય@@ ત્રી
ગાયિકા	ગાય@@ િકા
ગારીયાધાર	ગ@@ ાર@@ ીયા@@ ધાર
ગારો	ગ@@ ારો
ગાર્ગી	ગા@@ ર્@@ ગી
ગાર્ડન	ગા@@ ર્ડ@@ ન
ગાર્ડન,	ગા@@ ર્ડ@@ ન,
ગાર્ડસ	ગા@@ ર્ડ@@ સ
ગાર્દ	ગા@@ ર્@@ દ
ગાલિબ	ગા@@ લિ@@ બ
ગાલ્લે,	ગા@@ લ્@@ લે@@ ,
ગાવસકર	ગા@@ વ@@ સ@@ કર
ગિજુભાઈ	ગિ@@ જુ@@ ભાઈ
ગિનિ	ગિ@@ નિ
ગિનિનો	ગિ@@ નિ@@ નો
ગિની-બિસ્સાઉનો	ગિ@@ ની@@ -@@ બિ@@ સ્@@ સા@@ ઉ@@ નો
ગિફ્ટ	ગિ@@ ફ્@@ ટ
ગિરણા	ગિર@@ ણા
ગિરનાર	ગિર@@ નાર
ગિરનારી	ગિર@@ નાર ⧺ી
ગિરા	ગિ@@ રા
ગિરિ	ગિરિ
ગિરિજા	ગિ@@ રિ@@ જા
ગિરિમથકો	ગિરિ@@ મથક ⧺ો
ગિરિશ	ગિ@@ રિ@@ શ
ગિરી	ગિ@@ રી
ગિરીડીહ	ગિ@@ રી@@ ડી@@ હ
ગિલોટિન	ગિ@@ લો@@ ટિ@@ ન
ગીઝાનો	ગી@@ ઝા@@ નો
ગીટ	ગી@@ ટ
ગીત	ગી@@ ત
ગીતકાર	ગી@@ ત@@ કાર
ગીતા	ગી@@ તા
ગીતાંજલિ	ગી@@ તા@@ ં@@ જલ@@ િ
ગીધ	ગી@@ ધ
ગીધકુટ	ગી@@ ધ@@ કુ@@ ટ
ગીન	ગી@@ ન
ગીનીનો	ગી@@ ની@@ નો
ગીર	ગીર
ગીરધરલાલ	ગી@@ ર@@ ધર@@ લાલ
ગુંટર	ગુ@@ ં@@ ટર
ગુંડપ્પા	ગુ@@ ંડ@@ પ્@@ પા
ગુંદા	ગુ@@ ંદ@@ ા
ગુંદાળા	ગુ@@ ંદા@@ ળા
ગુંદીયાળી	ગુ@@ ંદ@@ ીયા@@ ળી
ગુઆંગ	ગુ@@ આ@@ ંગ
ગુઆન	ગુ@@ આ@@ ન
ગુજરાત	ગુજરાત
ગુજરાતના	ગુજરાત ⧺ના
ગુજરાતનાં	ગુજરાતનાં
ગુજરાતની	ગુજરા@@ તન ⧺ી
ગુજરાતનો	ગુજરા@@ તન ⧺ો
ગુજરાતમાં	ગુજરાત@@ માં
ગુજરાતમાંથી	ગુજરાત@@ મા@@ ં@@ થી
ગુજરાતી	ગુજરાત ⧺ી
ગુજરાલ	ગુજરા@@ લ
ગુજ્જુભાઈ	ગુ@@ જ્@@ જુ@@ ભાઈ
ગુડ	ગુ@@ ડ
ગુડગાંવ	ગુ@@ ડ@@ ગાંવ
ગુડફ્રાઈડે	ગુ@@ ડ@@ ફ્રા@@ ઈ@@ ડે
ગુણવંત	ગુ@@ ણ@@ વંત
ગુણવંતરાય	ગુ@@ ણ@@ વં@@ ત@@ રાય
ગુણાતીતાનંદ	ગુ@@ ણા@@ તી@@ તા@@ નંદ
ગુદા	ગુ@@ દા
ગુના	ગુ@@ ના
ગુન્ટૂર	ગુ@@ ન્@@ ટ@@ ૂર
ગુપ્ત	ગુ@@ પ્ત
ગુપ્તરોગ	ગુ@@ પ્@@ ત@@ રોગ
ગુફા	ગુફ@@ ા
ગુફાઓ	ગુફાઓ
ગુફાઓ,	ગુ@@ ફા@@ ઓ@@ ,
ગુમલા	ગુ@@ મલા
ગુયાના	ગુ@@ યા@@ ના
ગુરખા	ગુરખા
ગુરદાસપુર	ગુર@@ દા@@ સપુર
ગુરબચ્ચન	ગુ@@ રબ@@ ચ્ચન
ગુરુ	ગુરુ
ગુરુત્વાકર્ષણ	ગુ@@ રુ@@ ત્@@ વા@@ કર્@@ ષણ
ગુરુત્વાકર્ષણીય	ગુ@@ રુ@@ ત્@@ વા@@ કર્@@ ષ@@ ણ@@ ીય
ગુરુદ્વારા	ગુ@@ રુ@@ દ્@@ વા@@ રા
ગુરુના	ગુરુ ⧺ના
ગુરુનાનક	ગુ@@ રુ@@ ના@@ ન@@ ક
ગુરુવાર	ગુ@@ રુ@@ વાર
ગુરૂ	ગુર@@ ૂ
ગુર્જિયેફ	ગુ@@ ર્જ@@ િયે@@ ફ
ગુલઝારીલાલ	ગુ@@ લ@@ ઝાર@@ ી@@ લાલ
ગુલબર્ગ	ગુ@@ લ@@ બર્ગ
ગુલાબ	ગુ@@ લા@@ બ
ગુલાબદાસ	ગુ@@ લા@@ બ@@ દાસ
ગુલાબી	ગુ@@ લા@@ બ ⧺ી
ગુલામ	ગુ@@ લામ
ગુલામમોહમ્મદ	ગુ@@ લામ@@ મો@@ હમ્મદ
ગુલામી	ગુ@@ લામ ⧺ી
ગુલ્મી	ગુ@@ લ્@@ મી
ગુવાહાટી	ગુ@@ વા@@ હા@@ ટી
ગુહર	ગુ@@ હર
ગુહ્યેશ્વરી	ગુ@@ હ@@ ્ય@@ ે@@ શ્વરી
ગૂગલ	ગૂ@@ ગલ
ગૂગોલ	ગૂ@@ ગો@@ લ
ગૂચી	ગૂ@@ ચી
ગૂડિસન	ગૂ@@ ડિ@@ સન
ગૂવેરા	ગૂ@@ વે@@ રા
ગૃહમંત્રી	ગ@@ ૃ@@ હ@@ મંત્ર@@ ી
ગૅંગ્સ્ટર	ગ@@ ૅ@@ ંગ્@@ સ્ટર
ગૅરી	ગ@@ ૅ@@ રી
ગૅલિલિ	ગ@@ ૅ@@ લિ@@ લ@@ િ
ગૅલિલિયો	ગ@@ ૅ@@ લિ@@ લ@@ િયો
ગેઝર	ગે@@ ઝ@@ ર
ગેટ	ગે@@ ટ
ગેટવે	ગે@@ ટ@@ વે
ગેટ્સ	ગે@@ ટ્સ
ગેડી	ગે@@ ડી
ગેડોલિનીયમ	ગે@@ ડો@@ લિ@@ નીયમ
ગેમ	ગે@@ મ
ગેમ્બિયાનો	ગે@@ મ્બ@@ િયાનો
ગેયઝીન્ગ	ગે@@ ય@@ ઝી@@ ન્ગ
ગેરિબાલ્ડી	ગે@@ રિ@@ બા@@ લ્@@ ડી
ગેલિયમ	ગે@@ લિયમ
ગેસ	ગે@@ સ
ગેસ્ટાપો	ગે@@ સ્ટા@@ પો
ગેહલોત	ગે@@ હ@@ લો@@ ત
ગો	ગો
ગોંડલ	ગો@@ ંડ@@ લ
ગોંડા	ગો@@ ંડા
ગોઆ	ગો@@ આ
ગોઆના	ગો@@ આ ⧺ના
